iter	Passed	Remaining
0	0	93
1	1	94
2	2	88
3	3	91
4	4	88
5	5	88
6	6	86
7	7	84
8	8	82
9	9	81
10	9	80
11	10	79
12	11	78
13	12	77
14	13	76
15	14	75
16	15	74
17	16	75
18	17	74
19	18	74
20	20	76
21	21	75
22	22	73
23	22	72
24	24	72
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	32
66	63	31
67	64	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
